"bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
"134" 31 84 25 8694 205 -131 132 -35 145 -80 642 74 37 24 206 114 186 143
"135" 31 84 25 8694 205 -131 132 -35 145 -80 642 74 37 24 206 114 186 143
"136" 35 82 24 8616 206 -124 136 -32 148 -75 656 74 38 25 207 117 183 148
"137" 35 82 24 8616 206 -124 136 -32 148 -75 656 74 38 25 207 117 183 148
"138" 32 83 24 8665 205 -128 133 -34 146 -78 645 74 37 24 206 114 185 144
"139" 31 83 24 8667 204 -130 132 -36 145 -80 645 74 37 24 206 114 185 144
"140" 31 83 24 8667 204 -130 132 -36 145 -80 645 74 37 24 206 114 185 144
"141" 31 83 24 8667 204 -130 132 -36 145 -80 645 74 37 24 206 114 185 144
"142" 31 83 24 8667 204 -130 132 -36 145 -80 645 74 37 24 206 114 185 144
"143" 31 83 24 8667 204 -130 132 -36 145 -80 645 74 37 24 206 114 185 144
"144" 78 61 26 6157 201 -28 152 24 158 3 656 68 35 22 200 116 188 155
"145" 72 64 26 6306 203 -37 148 18 156 -4 698 76 39 21 215 123 201 167
"146" 32 83 24 8698 206 -128 134 -34 147 -78 638 74 37 24 204 113 183 143
"147" 79 54 24 6094 200 -20 155 24 160 7 569 62 32 20 175 101 162 132
"148" 79 54 24 6094 200 -20 155 24 160 7 569 62 32 20 175 101 162 132
"149" 79 54 24 6094 200 -20 155 24 160 7 569 62 32 20 175 101 162 132
"150" 79 54 24 6094 200 -20 155 24 160 7 569 62 32 20 175 101 162 132
"151" 79 54 24 6094 200 -20 155 24 160 7 569 62 32 20 175 101 162 132
"152" 79 54 24 6094 200 -20 155 24 160 7 569 62 32 20 175 101 162 132
"153" 74 61 26 6236 201 -32 150 20 156 -1 653 72 37 21 201 116 188 155
"154" 28 85 24 8838 205 -138 130 -38 144 -85 619 72 35 24 201 109 186 135
"155" 28 85 24 8838 205 -138 130 -38 144 -85 619 72 35 24 201 109 186 135
"156" 34 82 24 8606 205 -126 134 -33 146 -76 654 74 38 24 206 117 184 148
"157" 31 84 25 8694 205 -131 132 -35 145 -80 642 74 37 24 206 114 186 143
"158" 31 84 25 8694 205 -131 132 -35 145 -80 642 74 37 24 206 114 186 143
"159" 74 61 26 6236 201 -32 150 20 156 -1 653 72 37 21 201 116 188 155
"160" 74 61 26 6236 201 -32 150 20 156 -1 653 72 37 21 201 116 188 155
"161" 70 67 27 6438 207 -39 147 15 154 -10 623 70 36 20 193 113 178 147
"162" 79 54 24 6094 200 -20 155 24 160 7 569 62 32 20 175 101 162 132
"163" 79 54 24 6094 200 -20 155 24 160 7 569 62 32 20 175 101 162 132
"164" 78 59 25 6203 205 -25 154 23 160 3 582 65 34 20 179 106 163 138
"165" 33 83 25 8391 202 -123 131 -31 143 -74 669 75 39 24 212 121 187 151
"166" 75 62 25 6565 212 -35 155 18 161 -6 498 59 29 22 163 88 149 111
"167" 78 62 25 6501 212 -30 157 21 163 -2 533 62 31 22 172 95 157 119
"168" 72 64 26 6499 208 -36 151 16 157 -8 560 65 33 21 178 102 164 127
"169" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"170" 78 61 26 6157 201 -28 152 24 158 3 656 68 35 22 200 116 188 155
"171" 71 61 26 6194 197 -34 146 17 153 -4 690 74 39 21 210 124 197 167
"172" 78 61 25 6444 211 -28 157 22 163 -1 549 62 32 21 174 99 157 125
"173" 73 62 26 6227 200 -34 148 19 155 -2 698 75 39 21 213 124 200 168
"174" 65 73 27 6779 213 -52 144 7 154 -19 570 66 31 23 186 100 175 125
"175" 70 63 25 6313 195 -50 145 14 153 -7 785 86 40 24 251 134 233 178
"176" 70 63 25 6313 195 -50 145 14 153 -7 785 86 40 24 251 134 233 178
"177" 70 63 25 6313 195 -50 145 14 153 -7 785 86 40 24 251 134 233 178
"178" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"179" 74 63 26 6242 202 -34 149 20 157 -1 699 75 39 21 215 123 201 168
"180" 74 63 26 6242 202 -34 149 20 157 -1 699 75 39 21 215 123 201 168
"181" 78 59 25 6203 205 -25 154 23 160 3 582 65 34 20 179 106 163 138
"182" 78 61 26 6157 201 -28 152 24 158 3 656 68 35 22 200 116 188 155
"183" 78 61 26 6157 201 -28 152 24 158 3 656 68 35 22 200 116 188 155
"184" 55 69 24 7523 209 -74 144 -6 155 -38 553 69 28 29 193 89 175 118
"185" 78 60 26 6174 202 -27 153 25 159 4 664 68 36 21 199 119 187 161
"186" 33 81 24 8533 203 -124 133 -33 145 -75 684 77 40 24 214 123 189 156
"187" 71 62 23 7068 219 -44 155 11 166 -14 494 58 24 28 166 79 153 110
"188" 77 61 26 6218 205 -27 153 23 159 2 595 68 34 21 185 106 172 139
"189" 74 61 26 6236 201 -32 150 20 156 -1 653 72 37 21 201 116 188 155
"190" 74 61 26 6236 201 -32 150 20 156 -1 653 72 37 21 201 116 188 155
"191" 77 63 26 6239 205 -31 152 22 159 1 647 72 36 22 201 113 187 153
"192" 72 66 25 6703 215 -41 153 14 161 -9 513 60 26 25 168 86 155 111
"193" 33 82 24 8664 206 -127 135 -34 147 -77 644 74 37 25 205 114 183 145
"194" 33 82 24 8664 206 -127 135 -34 147 -77 644 74 37 25 205 114 183 145
